checkpoint,p_raw,p_gate_channels,p_gate_spatial
stem,0.904248833656311,0.0129619762301445,2.393828992808267e-07
layer1,0.904248833656311,3.804392690653913e-05,7.894186273915693e-05
layer2,0.904248833656311,0.0035936462227255106,0.0011428139405325055
layer3,0.904248833656311,0.43693971633911133,0.009750310331583023
layer4,0.904248833656311,0.925048291683197,0.09540019929409027
final,0.904248833656311,0.904248833656311,0.904248833656311
